"","alpha","lambda","Model","Simulation_number"
"231",0,0.120679264063933,"ELASTIC NET",77
"232",0,0.120679264063933,"RIDGE",78
"233",1,0.012648552168553,"LASSO",78
"234",0.1,0.06866488450043,"ELASTIC NET",78
"235",0,0.159985871960606,"RIDGE",79
"236",1,0.012648552168553,"LASSO",79
"237",0.3,0.0294705170255181,"ELASTIC NET",79
"238",0,0.120679264063933,"RIDGE",80
"239",1,0.00954095476349994,"LASSO",80
"240",0,0.120679264063933,"ELASTIC NET",80
"241",0,0.159985871960606,"RIDGE",81
"242",1,0.0390693993705462,"LASSO",81
"243",0,0.159985871960606,"ELASTIC NET",81
"244",0,0.0910298177991522,"RIDGE",82
"245",1,0.0222299648252619,"LASSO",82
"246",0,0.0910298177991522,"ELASTIC NET",82
"247",0,0.159985871960606,"RIDGE",83
"248",1,0.012648552168553,"LASSO",83
"249",0,0.159985871960606,"ELASTIC NET",83
"250",0,0.120679264063933,"RIDGE",84
"251",1,0.012648552168553,"LASSO",84
"252",0,0.120679264063933,"ELASTIC NET",84
"253",0,0.120679264063933,"RIDGE",85
"254",1,0.00409491506238043,"LASSO",85
"255",0,0.120679264063933,"ELASTIC NET",85
"256",0,0.212095088792019,"RIDGE",86
"257",1,0.012648552168553,"LASSO",86
"258",0,0.212095088792019,"ELASTIC NET",86
"259",0,0.120679264063933,"RIDGE",87
"260",1,0.00542867543932386,"LASSO",87
"261",0.1,0.0294705170255181,"ELASTIC NET",87
"262",0,0.0910298177991522,"RIDGE",88
"263",1,0.0167683293681101,"LASSO",88
"264",0,0.0910298177991522,"ELASTIC NET",88
"265",0,0.159985871960606,"RIDGE",89
"266",1,0.0294705170255181,"LASSO",89
"267",0,0.159985871960606,"ELASTIC NET",89
"268",0,0.120679264063933,"RIDGE",90
"269",1,0.0167683293681101,"LASSO",90
"270",0,0.120679264063933,"ELASTIC NET",90
"271",0,0.212095088792019,"RIDGE",91
"272",1,0.0294705170255181,"LASSO",91
"273",0,0.212095088792019,"ELASTIC NET",91
"274",0,0.120679264063933,"RIDGE",92
"275",1,0.00954095476349994,"LASSO",92
"276",0,0.120679264063933,"ELASTIC NET",92
"277",0,0.0910298177991522,"RIDGE",93
"278",1,0.00954095476349994,"LASSO",93
"279",0,0.0910298177991522,"ELASTIC NET",93
"280",0,0.120679264063933,"RIDGE",94
"281",1,0.00542867543932386,"LASSO",94
"282",0.1,0.0390693993705462,"ELASTIC NET",94
"283",0,0.120679264063933,"RIDGE",95
"284",1,0.00132571136559011,"LASSO",95
"285",0.1,0.0294705170255181,"ELASTIC NET",95
"286",0,0.159985871960606,"RIDGE",96
"287",1,0.012648552168553,"LASSO",96
"288",0.1,0.06866488450043,"ELASTIC NET",96
"289",0,0.120679264063933,"RIDGE",97
